"x","y","z","vx","vy","vz","t"
-0.0827280294051049,0.0121739499962201,0.0359639473850326,-5.83883109195327e-05,0.00146912771579744,0.00193192197470715,1
-0.0827283213466595,0.0121812956347991,0.0359736069949061,0.000285429393764858,0.00138368589018278,0.00165517286989658,1.005
-0.0827268941996907,0.01218821406425,0.0359818828592556,0.000650984292049905,0.00135745123918118,0.00131288529738871,1.01
-0.0827236392782305,0.0121950013204459,0.0359884472857426,0.00100558789801752,0.00138546550368379,0.000949442328956884,1.015
-0.0827186113387404,0.0122019286479643,0.0359931944973874,0.00131558910740903,0.00144842239894749,0.00061594690643485,1.02
-0.0827120333932033,0.012209170759959,0.0359962742319195,0.00154977746131824,0.00151369525284994,0.000364970560773337,1.025
-0.0827042845058967,0.0122167392362233,0.0359980990847234,0.00168251407257625,0.00153975381749771,0.00024429070137888,1.03
-0.0826958719355338,0.0122244380053108,0.0359993205382303,0.00169617617882256,0.00148316936526005,0.000290539172853599,1.035
-0.0826873910546397,0.0122318538521371,0.0360007732340946,0.00158266771033144,0.0013066817542734,0.000523760085235914,1.04
-0.0826794777160881,0.0122383872609084,0.0360033920345207,0.00134394297979235,0.000986654053672376,0.000943703716838051,1.045
-0.0826727580011891,0.0122433205311768,0.0360081105531049,0.000991636970359977,0.000518516644851252,0.00152839641800462,1.05
-0.0826677998163373,0.0122459131144011,0.036015752535195,0.000545956091491107,-8.07002708630433e-05,0.00223516540798219,1.055
-0.0826650700358799,0.0122455096130467,0.0360269283622349,3.39775874991233e-05,-0.00077305890196222,0.00300388316016864,1.06
-0.0826649001479424,0.0122416443185369,0.0360419477780357,-0.00051250917842971,-0.00150340359066636,0.00376187467974187,1.065
-0.0826674626938345,0.0122341273005836,0.0360607571514344,-0.00105946924586764,-0.00220543686371699,0.00442984830728577,1.07
-0.0826727600400639,0.012223100116265,0.0360829063929708,-0.00157322252734016,-0.00280936165910628,0.00492832763794304,1.075
-0.0826806261527006,0.0122090533079695,0.0361075480311606,-0.00202303013807636,-0.00325019730461618,0.00518421249966483,1.08
-0.0826907413033909,0.0121928023214464,0.0361334690936589,-0.00238357095072583,-0.0034758804832391,0.00513715395282777,1.085
-0.0827026591581446,0.0121754229190302,0.036159154863423,-0.00263720090583064,-0.00345428002856696,0.00474536200745224,1.09
-0.0827158451626737,0.0121581515188874,0.0361828816734603,-0.00277580080256801,-0.00317826866508275,0.00399032941216237,1.095
-0.0827297241666866,0.012142260175562,0.0362028333205211,-0.00280196003623612,-0.00266806133158437,0.00287986462828016,1.1
-0.0827437339668677,0.012128919868904,0.0362172326436625,-0.00272928711462228,-0.00197024947030944,0.00144887841908581,1.105
-0.0827573804024408,0.0121190686215525,0.0362244770357579,-0.0025817414370799,-0.00115341214165787,-0.000242432237218537,1.11
-0.0827702891096262,0.0121133015608442,0.0362232648745718,-0.00239197146427728,-0.000300848497822304,-0.00211305264550266,1.115
-0.0827822489669476,0.0121117973183551,0.0362126996113443,-0.00219871327613586,0.000498344258631489,-0.0040679367033114,1.12
-0.0827932425333283,0.0121142890396482,0.0361923599278278,-0.00204339445828428,0.00115830816109219,-0.00600640339438741,1.125
-0.0828034595056197,0.0121200805804537,0.0361623279108558,-0.00196622183481487,0.00160436325450652,-0.00783124057210927,1.13
-0.0828132906147938,0.0121281023967262,0.0361231717079953,-0.00200216930723585,0.00177936272273693,-0.00945764545536854,1.135
-0.08282330146133,0.0121369992103399,0.0360758834807184,-0.00217736474947827,0.00164852186035069,-0.0108212323847834,1.14
-0.0828341882850774,0.0121452418196417,0.0360217773187945,-0.00250636863865505,0.0012028456018498,-0.0118843643086564,1.145
-0.0828467201282707,0.0121512560476509,0.0359623554972512,-0.00299073367175939,0.000461069268400949,-0.0126400830015472,1.15
-0.0828616737966295,0.0121535613939929,0.0358991550822435,-0.00361904376722233,-0.000530161367851001,-0.0131130932084833,1.155
-0.0828797690154656,0.0121509105871537,0.0358335896162011,-0.0043683885508905,-0.00169817571722963,-0.013357639227074,1.16
-0.08290161095822,0.0121424197085675,0.0357668014200657,-0.00520699283794723,-0.00294841690613723,-0.0134525475216085,1.165
-0.0829276459224098,0.0121276776240368,0.0356995386824577,-0.00609754917426653,-0.00417082713033146,-0.0134939973400305,1.17
-0.0829581336682811,0.0121068234883852,0.0356320686957575,-0.00700073585977457,-0.00524825012442331,-0.0135866733181667,1.175
-0.08299313734758,0.0120805822377631,0.0355641353291667,-0.00787844277716498,-0.00606634666889538,-0.0138339843728907,1.18
-0.0830325295614658,0.0120502505044186,0.0354949654073022,-0.00869634101618999,-0.00652417213685419,-0.0143281502138937,1.185
-0.0830760112665467,0.0120176296437343,0.0354233246562328,-0.00942559744672167,-0.00654418564158821,-0.0151411457381956,1.19
-0.0831231392537803,0.0119849087155264,0.0353476189275418,-0.0100437420039734,-0.00608020253901609,-0.0163175782103897,1.195
-0.0831733579638002,0.0119545077028313,0.0352660310364898,-0.0105349058947546,-0.00512196025934664,-0.0178703519590373,1.2
-0.083226032493274,0.0119288979015346,0.0351766792766947,-0.0108897890697568,-0.00369572798077922,-0.0197794139414231,1.205
-0.0832804814386228,0.0119104192616307,0.0350777822069875,-0.0111057037353479,-0.00186143123631077,-0.0219932352918839,1.21
-0.0833360099572995,0.0119011121054491,0.0349678160305281,-0.011186837484467,0.000292593192918744,-0.0244323715149264,1.215
-0.0833919441447218,0.0119025750714137,0.0348456541729535,-0.0111445621570505,0.00265617459694889,-0.0269945939346927,1.22
-0.0834476669555071,0.0119158559443985,0.03471068120328,-0.0109973812958186,0.00510467768939371,-0.029561433694747,1.225
