"name_output","ind_output","referential_elements","W_elements","R2_elements"
"SN001_0028","8",1,0.24489620662309,0.940107274476915
"SN001_0028","8",1,0.368093105397206,0.840809158282892
"SN001_0028","8",1,0.348476702769611,0.750750023768801
"SN001_0028","8",1,0.531844409351469,0.394654747440366
"SN001_0028","8",1,0.240037398044792,0.92325417591718
"SN001_0028","8",1,0.261738207484076,0.855610058450228
"SN001_0028","8",1,0.236972320205297,0.895437450303262
"SN001_0028","8",1,0.215989516168734,0.917784433134236
"SN001_0028","8",1,0.456793782515587,0.600553830198001
"SN001_0028","8",1,0.214744440726437,0.933295011382965
"SN001_0028","8",1,0.121947474972115,0.971799827352613
"SN001_0028","8",1,0.711982116729602,0.0892812530545884
"SN001_0028","8",1,0.477818982264826,0.501593933397911
"SN001_0028","8",1,0.397980012300785,0.657100014812249
"SN001_0028","8",1,0.156273742767861,0.954898515995408
"SN001_0028","8",1,0.18345357066906,0.959617328115296
"SN001_0028","8",1,0.267994855621639,0.885263636414312
"SN001_0028","8",1,0.243555405323457,0.901967414506433
"SN001_0028","8",1,0.576000142976396,0.268810212017656
"SN001_0028","8",1,0.348615045056915,0.732742718309906
"SN001_0028","8",1,0.632867547936332,0.17136341270151
"SN001_0028","8",1,0.274628852553548,0.872012358265535
"SN001_0028","8",1,0.576776765569309,0.412864681047794
"SN001_0028","8",1,0.391118803101669,0.879557351399054
"SN001_0028","8",1,0.208140232895788,0.918707318112477
"SN001_0028","8",1,0.283524244165861,0.88274623796784
"SN001_0028","8",1,0.754527206242858,0.0102227096702034
"SN001_0028","8",1,0.254060038739245,0.863919830760457
"SN001_0028","8",1,0.392098679476654,0.672311303556029
"SN001_0028","8",1,0.546609752589148,0.361552598482942
"SN001_0028","8",1,0.294945821609882,0.854821812596752
"SN001_0028","8",1,0.148616432814346,0.974119656250809
"SN001_0028","8",1,0.303124822993747,0.864295107530281
"SN001_0028","8",1,1.00086958140808,0.0100309596770922
"SN001_0028","8",1,0.550392120856793,0.421077539391156
"SN001_0028","8",1,0.771719861413716,0.00647783829919622
"SN001_0028","8",1,0.30180826098165,0.798941062078317
"SN001_0028","8",1,0.117427399529614,0.977011239947921
"SN001_0028","8",1,0.277943717441214,0.833134953877039
"SN001_0028","8",1,0.334485270749015,0.762023121791193
"SN001_0028","8",1,0.702424585650234,0.0408637908530233
"SN001_0028","8",1,0.801107671616113,0.049117825665505
"SN001_0028","8",1,0.388331199961586,0.670909750194259
"SN001_0028","8",1,0.286598123033143,0.870624559982388
"SN001_0028","8",1,0.291644142380919,0.817103455651279
"SN001_0028","8",1,0.589925346699089,0.559423220177488
"SN001_0028","8",1,0.241349761795662,0.867767082033072
"SN001_0028","8",1,0.593539991890951,0.241169077782075
"SN001_0028","8",1,0.219046421651839,0.934934868134507
"SN001_0028","8",1,0.298882715692938,0.833173022447383
"SN001_0028","8",1,0.739271012128644,0.0763477907202878
"SN001_0028","8",1,0.224697880986288,0.897438058687265
"SN001_0028","8",1,0.317966789011024,0.777613382617382
"SN001_0028","8",1,0.360278020230215,0.88307787582924
"SN001_0028","8",1,1.05543335862526,0.0335958309379622
"SN001_0028","8",1,0.536930100809456,0.464650406812182
"SN001_0028","8",1,0.471603875871054,0.671501524532588
"SN001_0028","8",1,0.474134783406633,0.565618486877179
"SN001_0028","8",1,0.49400018119679,0.530578266551922
"SN001_0028","8",1,0.461855589358735,0.575065829836108
"SN001_0028","8",1,0.154086724419843,0.975877200287204
"SN001_0028","8",1,0.2486228796115,0.862321375595033
"SN001_0028","8",1,0.783031858778091,0.076645314029478
"SN001_0028","8",1,0.518297373158978,0.570644734725766
"SN001_0028","8",1,0.332252106296669,0.786944493976583
"SN001_0028","8",1,0.952222817825067,0.00043302007235235
"SN001_0028","8",1,0.54981877711444,0.379025126784255
"SN001_0028","8",1,0.466445031968023,0.539540601320629
"SN001_0028","8",1,0.382572013949261,0.688892797875805
"SN001_0028","8",1,0.277721510247736,0.913536949518942
"SN001_0028","8",1,0.107417951157932,0.98192008113614
"SN001_0028","8",1,0.774542596499038,0.240226067988636
"SN001_0028","8",1,0.215258037379723,0.94174460818808
"SN001_0028","8",1,0.625638309771651,0.418896215364161
"SN001_0028","8",1,0.222766861847648,0.896402086785271
"SN001_0028","8",1,1.01917170850671,0.0157779496902354
"SN001_0028","8",1,0.314514473853986,0.785923493483289
"SN001_0028","8",1,0.255070644367317,0.889821698160079
"SN001_0028","8",1,0.305008590100673,0.813927508480932
"SN001_0028","8",1,0.745961416205165,0.259035985784252
"SN001_0028","8",1,0.197295121643191,0.937555323521728
"SN001_0028","8",1,0.290823055633128,0.85751639436332
"SN001_0028","8",1,0.182208250617022,0.932015012584873
"SN001_0028","8",1,0.353736426169598,0.723724401856366
